Brightness,Greenness,Wetness,Label
1756.8118,-405.97424,-1283.2665,1
1748.2654,-269.59048,-1160.5393,1
276.5678,-250.30717,86.6764,1
693.22034,-156.44585,-490.84692,1
1063.7015,-210.00201,-731.1857,1
1337.1216,-251.41898,-1025.883,1
1663.8442,-256.13824,-1062.1184,1
1188.4976,-241.35455,-878.33746,1
876.1514,-188.37953,-710.4744,1
1042.7169,-164.85052,-805.42755,1
732.82086,-147.23454,-645.0897,1
1108.8033,-206.07083,-856.98627,1
1200.3857,-309.69476,-850.8181,1
273.1462,-241.24086,75.99543,1
1367.5323,-378.4544,-956.0687,1
1344.3508,-403.53656,-1046.7361,1
1689.2997,-281.49005,-1252.2484,1
1230.4594,-94.84694,-918.42224,1
1311.1437,-347.8459,-1034.2493,1
1314.9558,-196.24765,-1050.9713,1
721.2852,-105.19873,-535.50104,1
1738.4404,-145.83305,-991.72284,1
555.3036,-114.87134,-382.5213,1
875.1631,-223.57695,-597.2383,1
341.86783,-308.92685,100.799866,1
1053.9441,-223.228,-776.155,1
1270.2151,-226.77626,-915.9804,1
906.64825,-150.66333,-642.3847,1
887.8042,-138.5481,-652.1368,1
969.2499,-150.16722,-702.55524,1
982.53625,-244.7707,-661.5626,1
1231.6334,-122.83846,-748.46533,1
953.24146,-223.38707,-649.0897,1
782.8172,-170.6502,-548.3346,1
756.7643,-157.36641,-527.874,1
245.2854,-208.11626,44.57257,1
750.09375,-175.718,-528.0999,1
743.1186,-153.02711,-503.98743,1
1003.9522,-227.38774,-572.6989,1
959.0881,-252.1547,-595.3237,1
1237.4692,-313.40167,-952.21954,1
548.1681,-144.16429,-417.13657,1
876.6478,-290.13974,-654.77026,1
949.5229,-320.2886,-618.81445,1
993.8915,-314.89862,-701.29285,1
671.2061,-262.2473,-332.9937,2
254.80215,-203.35622,37.92543,2
1080.2898,-228.20143,-903.59827,2
1301.4434,-270.24622,-1045.4761,2
1200.6846,-237.32364,-951.9724,2
1222.737,-191.88063,-761.1297,2
1146.4696,-206.65031,-757.3853,2
1666.1666,-519.46594,-1179.3446,2
1525.6426,-537.9701,-1239.2236,2
1968.7621,-690.43256,-1574.6339,2
1826.382,-608.8379,-1418.7324,2
1380.7339,-430.13806,-1038.9331,2
193.3397,-134.7576,8.758885,2
1610.4412,-537.7744,-1250.8953,2
2547.3857,-367.48608,-1487.5322,2
1339.8512,-402.18723,-884.03516,2
1470.195,-354.54672,-1133.4581,2
1206.7871,-342.02692,-762.9823,2
1666.2006,-529.80884,-1185.7235,2
1360.186,38.271507,-837.3384,2
1601.807,-489.17386,-1256.1163,2
2002.9856,-342.646,-1410.286,2
1674.8586,-492.71103,-1184.5675,2
332.35648,-281.53928,97.370766,2
140.4264,-95.9856,12.080834,2
1522.9714,-284.06775,-1328.3696,2
1650.3071,-240.69914,-1385.2402,2
1606.7482,-295.25418,-1438.9774,2
1287.2832,-262.1381,-1137.58,2
974.46674,-201.74512,-872.98956,2
1624.8402,-160.82779,-1294.3376,2
910.9832,-169.73837,-763.69604,2
1450.7708,-271.65997,-1207.051,2
1525.2891,-263.42392,-1324.6289,2
1430.673,-220.41333,-1249.3684,2
116.157684,-88.056244,5.9588447,2
1198.1274,-180.57751,-1015.9783,2
1466.4164,-205.11037,-1237.4802,2
1510.062,-270.70187,-1361.7084,2
1482.6167,-222.8582,-1306.6978,2
1459.8053,-243.90434,-1341.5016,2
1446.7817,-220.33168,-1217.4633,2
1436.308,-223.70645,-1225.1173,2
1180.2987,-202.6506,-1038.1375,2
1020.52167,-142.43944,-875.9626,2
1213.648,-197.68495,-1084.3088,2
103.511,-68.34637,4.7362742,2
1182.3619,-175.25562,-1011.313,2
1262.7655,-196.14125,-1074.9208,2
1613.834,-205.35278,-1347.4958,2
1129.0072,-91.17341,-924.9724,2
1454.6813,-100.982414,-1066.3278,2
1832.8188,-115.28808,-1432.3322,2
862.81024,-146.30403,-573.42126,2
912.99396,-192.39809,-605.2761,2
930.00995,-194.23405,-610.58093,2
1007.8795,-190.91,-651.2864,2
357.37692,-318.24487,91.47309,2
910.6978,-183.43002,-603.9411,2
848.1562,-124.48123,-561.1579,2
959.34546,-142.08597,-602.35645,2
1076.2944,-146.38817,-657.72424,2
1375.8821,-229.11577,-931.80865,2
1661.411,-294.66766,-1135.8257,2
1497.6053,-283.6607,-1026.6794,2
1117.9355,-220.91608,-750.8954,2
1249.6965,-262.65887,-838.46515,2
911.51,-138.0969,-595.2133,2
156.54933,-115.40234,19.049042,2
1032.43,-192.80095,-915.36035,2
1274.341,-211.74928,-1090.8163,2
1229.7837,-205.157,-1049.631,2
