Brightness,Greenness,Wetness,Label
820.687,-793.5394,307.9179,0
825.361,-804.5061,304.4469,0
824.6718,-801.0953,304.9371,0
825.2739,-797.3674,305.8253,0
821.582,-787.9923,297.1577,0
824.2547,-789.1413,313.5216,0
809.4399,-780.534,306.9195,0
808.7165,-777.8664,304.7182,0
813.378,-778.4239,306.7697,0
815.1586,-785.0053,304.0998,0
816.4296,-777.012,299.7102,0
814.2784,-775.7111,300.2211,0
809.8409,-768.615,299.054,0
831.2247,-801.1864,317.577,0
826.5383,-798.5581,309.8651,0
811.9001,-791.0128,316.5293,0
816.2829,-793.9268,311.1758,0
814.1544,-783.2184,299.1897,0
814.9432,-790.2781,319.6852,0
812.0513,-786.7423,309.2657,0
818.4828,-785.5639,303.7059,0
811.2675,-782.5097,307.9927,0
806.1876,-785.4141,313.5605,0
811.9728,-787.6451,298.8477,0
808.3105,-789.0299,292.4169,0
812.9424,-787.6194,307.4095,0
820.854,-787.1799,306.854,0
824.6294,-800.737,305.7053,0
816.8088,-797.0375,304.644,0
819.8008,-787.474,298.3256,0
823.4889,-791.2762,305.5536,0
820.9187,-791.8194,317.3928,0
822.1759,-790.179,315.1742,0
820.7336,-789.3807,310.8541,0
820.3723,-789.1694,311.5016,0
823.5425,-792.4422,304.7879,0
830.6906,-791.2021,307.0733,0
814.5545,-775.3759,300.2026,0
816.9681,-781.5609,305.7342,0
825.2064,-795.2682,309.5162,0
821.9609,-796.9787,308.2172,0
812.7033,-789.584,307.6671,0
814.4359,-790.3226,301.9605,0
808.5092,-780.1194,300.7185,0
804.3611,-780.1784,308.5498,0
807.6139,-780.7067,297.4747,0
806.7146,-784.991,298.4825,0
800.0076,-782.6141,307.1808,0
802.8328,-777.2257,307.6311,0
821.4089,-787.4128,301.2259,0
806.0504,-782.2285,294.7687,0
818.1686,-787.4414,312.2495,0
817.4331,-784.7193,308.4116,0
822.4312,-785.58,306.7098,0
812.0729,-790.9739,313.3929,0
814.8236,-784.5367,298.6527,0
827.9846,-793.4521,308.9156,0
820.9065,-782.2198,313.3329,0
819.9142,-792.0182,312.5419,0
818.2876,-796.9579,312.1891,0
834.4035,-804.6121,318.166,0
827.6371,-795.2868,311.6882,0
837.0819,-796.232,310.5398,0
814.7906,-783.0369,304.594,0
815.2883,-782.3694,299.2439,0
819.7681,-789.7802,313.8846,0
813.6164,-791.0385,311.9405,0
806.0736,-783.4597,310.7131,0
809.3131,-786.3431,301.3581,0
802.9182,-776.3498,308.0894,0
800.8968,-776.5192,310.7241,0
807.9222,-781.8657,300.9418,0
796.371,-778.1577,299.6692,0
794.2932,-771.0086,309.0706,0
805.3031,-775.869,313.3691,0
807.7824,-784.9878,307.3455,0
798.9352,-779.0587,303.2013,0
803.8381,-767.8527,306.8573,0
801.7308,-773.502,304.6535,0
805.1848,-767.0614,302.4819,0
796.5755,-773.1372,301.6257,0
809.7623,-780.6897,296.8533,0
807.4466,-779.2513,306.2283,0
808.4243,-778.1336,308.6277,0
806.9503,-784.3349,302.4971,0
813.4429,-785.9395,307.6512,0
830.4602,-799.6539,313.691,0
812.159,-790.564,309.3947,0
